generalized extreme value,k=0.698811055279666 sigma=942.089026948802 mu=1200.79721156363 
birnbaumsaunders,beta=559477.198848146 gamma=20.6005318028672 
birnbaumsaunders,beta=521169.930817826 gamma=12.2957250305721 
birnbaumsaunders,beta=359678.287537678 gamma=18.1441289158662 
birnbaumsaunders,beta=300934.985390696 gamma=18.5289583913437 
inversegaussian,mu=5314642.48773006 lambda=927.656364946517 
generalized extreme value,k=0.210177473538411 sigma=564.881515797283 mu=788.579408264249 
generalized extreme value,k=0.736666932996171 sigma=946.512312262107 mu=1048.31202179231 
generalized extreme value,k=0.485959027498679 sigma=719.014855793419 mu=886.15001187082 
generalized extreme value,k=0.435420065768607 sigma=623.593181263775 mu=859.68269839362 
birnbaumsaunders,beta=397040.517039913 gamma=15.7396481575931 
generalized pareto,k=2.9948092286018 sigma=2467.09290538403 theta=25 
generalized extreme value,k=0.831019363003041 sigma=923.363915712883 mu=921.868514192549 
generalized extreme value,k=1.09904229146306 sigma=2374.48981470937 mu=2112.01536393602 
generalized extreme value,k=1.18643361224677 sigma=1145.8507053415 mu=917.118032058458 
birnbaumsaunders,beta=506472.988260824 gamma=19.6191192711272 
inversegaussian,mu=6721854.53064 lambda=730.012017372704 
generalized extreme value,k=2.11540641384348 sigma=8103.65405456606 mu=3836.79751471639 
generalized extreme value,k=0.862247357688054 sigma=934.374351182952 mu=926.545457791288 
generalized pareto,k=3.26374207789209 sigma=3668.71304941591 theta=8 
birnbaumsaunders,beta=514547.5659111 gamma=20.0761931217945 
generalized extreme value,k=1.37668474363141 sigma=3280.30318541345 mu=2315.37072534684 
generalized extreme value,k=0.901776491442945 sigma=905.451971296469 mu=897.893240312723 
generalized extreme value,k=1.41932116049971 sigma=2752.25553605228 mu=1904.54730388734 
generalized extreme value,k=0.198275968643921 sigma=515.550503886773 mu=816.557054003924 
generalized extreme value,k=0.53306313075479 sigma=1113.84582036581 mu=1288.04425869469 
birnbaumsaunders,beta=452197.238055726 gamma=22.3744385353109 
generalized extreme value,k=2.99675991038106 sigma=26392.006777624 mu=8917.73078897847 
generalized pareto,k=4.36867985039645 sigma=3177.07093958615 theta=0.999999999999998 
generalized pareto,k=4.26485448433799 sigma=2408.16240729711 theta=10 
inversegaussian,mu=11337348.1432921 lambda=1067.05748115413 
generalized extreme value,k=0.515661326858194 sigma=616.807178704288 mu=738.283486601594 
